"","player_name","id","season","plays","exp_speed","avg_speed","avg_soe","forty","combine_season","twenty","ten","combine_weight","position","speed_score","speed_perc","speed_rank","adj_forty"
"1","Fabian Moreau",11836,2020,4,2.21155989170075,3.26245426875335,1.0508943770526,4.35,2017,2.51,1.51,206,"CB",0.0211165048543689,100,1,4.3
"2","Shareece Wright",6241,2018,6,2.52825746933619,3.28893128696025,0.760673817624062,4.41,2011,2.68,1.63,185,"CB",0.0238378378378378,85.3,2,4.3
"3","Logan Ryan",7864,2019,6,3.18739422162374,3.85032323349718,0.662929011873441,4.56,2013,2.65,1.58,191,"CB",0.0238743455497382,80.3,3,4.31
"4","Levi Wallace",25445,2020,8,3.05516448616982,3.70699412407339,0.651829637903576,4.63,2018,2.57,1.67,179,"CB",0.0258659217877095,79.7,4,4.31
"5","Carlton Davis",49335,2018,4,2.75242507457733,3.39953558762624,0.647110513048908,4.53,2018,2.64,1.59,206,"CB",0.0219902912621359,79.5,5,4.32
"6","Byron Murphy",44027,2020,4,3.36840200424194,3.99627180798191,0.627869803739966,4.55,2019,2.63671171171171,1.58306306306306,190,"CB",0.0239473684210526,78.5,6,4.32
"7","Jimmy Smith",27,2020,4,2.48560902476311,3.10560602195424,0.619996997191131,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,78.1,7,4.32
"8","Jimmy Smith",6179,2020,4,2.48560902476311,3.10560602195424,0.619996997191131,4.42,2011,2.63,1.59,211,"CB",0.0209478672985782,78.1,8,4.33
"9","Harrison Smith",3513,2018,9,2.87071519427829,3.42424627351535,0.553531079237053,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,74.7,9,4.34
"10","Harrison Smith",7641,2018,9,2.87071519427829,3.42424627351535,0.553531079237053,4.54,2012,2.66,1.56,213,"S",0.0213145539906103,74.7,10,4.34
"11","Harrison Smith",82058,2018,9,2.87071519427829,3.42424627351535,0.553531079237053,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,74.7,11,4.34
"12","Harrison Smith",103996,2018,9,2.87071519427829,3.42424627351535,0.553531079237053,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,74.7,12,4.35
"13","Harrison Smith",150641,2018,9,2.87071519427829,3.42424627351535,0.553531079237053,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,74.7,13,4.35
"14","Anthony Averett",50365,2020,7,2.69428392818996,3.21830547430419,0.524021546114228,4.36,2018,2.54,1.5,183,"CB",0.0238251366120219,73.2,14,4.36
"15","Jalen Thompson",49116,2019,5,3.2839204788208,3.79919173430003,0.515271255479227,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,72.8,15,4.36
"16","Jalen Thompson",49477,2019,5,3.2839204788208,3.79919173430003,0.515271255479227,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,72.8,16,4.36
"17","Jalen Thompson",150483,2019,5,3.2839204788208,3.79919173430003,0.515271255479227,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,72.8,17,4.36
"18","Jalen Thompson",152308,2019,5,3.2839204788208,3.79919173430003,0.515271255479227,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,72.8,18,4.36
"19","Jalen Thompson",155356,2019,5,3.2839204788208,3.79919173430003,0.515271255479227,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,72.8,19,4.36
"20","Darqueze Dennard",8659,2020,7,2.98332554953439,3.48568867479254,0.502363125258153,4.51,2014,2.65,1.63,199,"CB",0.0226633165829146,72.1,20,4.36
"21","Daryl Worley",10711,2018,5,2.51694498062134,3.01774700012575,0.500802019504415,4.64,2016,2.7,1.64,204,"CB",0.0227450980392157,72.1,21,4.36
"22","Tre'Davious White",11782,2020,5,2.66018618345261,3.16052775920631,0.500341575753704,4.47,2017,2.61,1.52,192,"CB",0.02328125,72,22,4.36
"23","Troy Pride Jr.",42883,2020,4,2.87938958406448,3.37208364357986,0.492694059515371,4.4,2020,2.63671171171171,1.58306306306306,193,"CB",0.0227979274611399,71.6,23,4.37
"24","Gareon Conley",11779,2018,9,2.98717133204142,3.43214614546844,0.444974813427019,4.44,2017,2.58,1.56,195,"CB",0.0227692307692308,69.2,24,4.37
"25","Kareem Jackson",5545,2020,9,3.34864428308275,3.78683493651405,0.438190653431299,4.4,2010,2.61,1.55,196,"CB",0.0224489795918367,68.9,25,4.37
"26","Anthony Harris",9895,2019,5,2.7061735868454,3.13281278910254,0.426639202257144,4.4954132231405,2015,2.63671171171171,1.58306306306306,183,NA,NA,68.3,26,4.37
"27","Anthony Harris",16005,2019,5,2.7061735868454,3.13281278910254,0.426639202257144,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,68.3,27,4.38
"28","Anthony Harris",142285,2019,5,2.7061735868454,3.13281278910254,0.426639202257144,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,68.3,28,4.38
"29","Xavier Rhodes",7806,2018,6,3.24253082275391,3.66502918960289,0.422498366848986,4.43,2013,2.59,1.58,210,"CB",0.0210952380952381,68.1,29,4.38
"30","Morris Claiborne",7012,2018,23,3.11667371832806,3.53233101303349,0.415657294705425,4.5,2012,2.61,1.57,188,"CB",0.023936170212766,67.7,30,4.38
"31","Trey Marshall",49154,2019,5,3.44936785697937,3.8559881235086,0.406620266529234,4.58,2018,2.7,1.61,205,"S",0.0223414634146341,67.3,31,4.38
